,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-29-16:15,314,286,325,375,325.0,319.5,350.0,375.0
2023-06-29-16:30,314,286,325,375,325.0,319.5,350.0,375.0
2023-06-29-16:45,314,286,325,375,325.0,319.5,350.0,375.0
2023-06-29-17:00,355,319,361,391,356.5,358.0,376.0,391.0
2023-06-29-17:15,351,315,361,391,354.5,356.0,376.0,391.0
2023-06-29-17:30,350,315,361,391,354.25,355.5,376.0,391.0
2023-06-29-17:45,345,315,361,391,353.0,353.0,376.0,391.0
2023-06-29-18:00,372,353,369,388,370.5,370.5,380.0,388.0
2023-06-29-18:15,372,353,369,388,370.5,370.5,380.0,388.0
2023-06-29-18:30,387,353,369,388,374.25,378.0,387.5,388.0
2023-06-29-18:45,384,353,376,393,376.5,380.0,388.5,393.0
