,high_mean
2023-06-29-08:00,21
2023-06-29-08:15,25
2023-06-29-08:30,27
2023-06-29-08:45,32
2023-06-29-09:00,39
2023-06-29-09:15,48
2023-06-29-09:30,50
2023-06-29-09:45,54
2023-06-29-10:00,52
2023-06-29-10:15,54
2023-06-29-10:30,62
2023-06-29-10:45,59
2023-06-29-11:00,76
2023-06-29-11:15,81
2023-06-29-11:30,79
2023-06-29-11:45,81
2023-06-29-12:00,78
2023-06-29-12:15,78
2023-06-29-12:30,82
2023-06-29-12:45,88
2023-06-29-13:00,85
2023-06-29-13:15,83
2023-06-29-13:30,82
2023-06-29-13:45,81
2023-06-29-14:00,83
2023-06-29-14:15,84
2023-06-29-14:30,82
2023-06-29-14:45,82
2023-06-29-15:00,80
2023-06-29-15:15,79
2023-06-29-15:30,76
2023-06-29-15:45,74
2023-06-29-16:00,71
2023-06-29-16:15,70
2023-06-29-16:30,67
2023-06-29-16:45,67
2023-06-29-17:00,64
2023-06-29-17:15,60
2023-06-29-17:30,60
2023-06-29-17:45,58
2023-06-29-18:00,55
2023-06-29-18:15,51
2023-06-29-18:30,51
2023-06-29-18:45,47
2023-06-29-19:00,43
2023-06-29-19:15,43
2023-06-29-19:30,36
2023-06-29-19:45,34
2023-06-29-20:00,23
2023-06-29-20:15,22
2023-06-29-20:30,19
2023-06-29-20:45,17
2023-06-29-21:00,15
2023-06-29-21:15,14
2023-06-29-21:30,14
2023-06-29-21:45,12
2023-06-29-22:00,13
2023-06-29-22:15,9
2023-06-29-22:30,9
2023-06-29-22:45,9
2023-06-29-23:00,8
2023-06-29-23:15,8
2023-06-29-23:30,8
2023-06-29-23:45,8
2023-06-30-00:00,7
2023-06-30-00:15,7
2023-06-30-00:30,8
2023-06-30-00:45,8
2023-06-30-01:00,8
2023-06-30-01:15,7
2023-06-30-01:30,8
2023-06-30-01:45,7
2023-06-30-02:00,7
2023-06-30-02:15,7
2023-06-30-02:30,7
2023-06-30-02:45,7
2023-06-30-03:00,8
2023-06-30-03:15,8
2023-06-30-03:30,8
2023-06-30-03:45,8
2023-06-30-04:00,8
2023-06-30-04:15,8
2023-06-30-04:30,9
2023-06-30-04:45,9
2023-06-30-05:00,10
2023-06-30-05:15,10
2023-06-30-05:30,11
2023-06-30-05:45,11
2023-06-30-06:00,13
2023-06-30-06:15,12
2023-06-30-06:30,12
2023-06-30-06:45,13
2023-06-30-07:00,12
2023-06-30-07:15,12
2023-06-30-07:30,16
2023-06-30-07:45,18
2023-06-30-08:00,20
2023-06-30-08:15,21
2023-06-30-08:30,25
2023-06-30-08:45,28
2023-06-30-09:00,42
2023-06-30-09:15,48
2023-06-30-09:30,58
2023-06-30-09:45,60
2023-06-30-10:00,61
2023-06-30-10:15,69
2023-06-30-10:30,71
2023-06-30-10:45,72
2023-06-30-11:00,71
2023-06-30-11:15,74
2023-06-30-11:30,77
2023-06-30-11:45,81
2023-06-30-12:00,80
2023-06-30-12:15,80
2023-06-30-12:30,78
2023-06-30-12:45,78
2023-06-30-13:00,77
2023-06-30-13:15,78
2023-06-30-13:30,70
2023-06-30-13:45,70
2023-06-30-14:00,76
2023-06-30-14:15,74
2023-06-30-14:30,77
2023-06-30-14:45,77
2023-06-30-15:00,83
2023-06-30-15:15,83
2023-06-30-15:30,83
2023-06-30-15:45,73
2023-06-30-16:00,72
2023-06-30-16:15,72
2023-06-30-16:30,67
2023-06-30-16:45,67
2023-06-30-17:00,61
2023-06-30-17:15,56
2023-06-30-17:30,56
2023-06-30-17:45,53
2023-06-30-18:00,54
2023-06-30-18:15,52
2023-06-30-18:30,57
2023-06-30-18:45,49
2023-06-30-19:00,48
2023-06-30-19:15,46
2023-06-30-19:30,43
2023-06-30-19:45,40
2023-06-30-20:00,21
2023-06-30-20:15,20
2023-06-30-20:30,18
2023-06-30-20:45,18
2023-06-30-21:00,19
2023-06-30-21:15,16
2023-06-30-21:30,15
2023-06-30-21:45,14
2023-06-30-22:00,14
2023-06-30-22:15,12
2023-06-30-22:30,12
2023-06-30-22:45,10
2023-06-30-23:00,10
2023-06-30-23:15,10
2023-06-30-23:30,10
2023-06-30-23:45,12
